order_id,customer_id,items,aperitifs,appetizers,entrees,desserts,total
5c77f51d-2790-40fa-91d4-6d6d5e29a762,3,5,Kir Royale,Cheese Plate,Duck,Tiramisu,215.46
738e624d-a42b-4dcb-9956-370956bbb98c,3,1,Kir Royale,Oysters,Duck,Tiramisu,201.91
6533aeee-9581-4048-b206-13aa13277fd5,4,10,Sherry,Salad,Chicken,Creme Brulee,956.08
f3fc1af4-0a52-41b2-a6e8-fe06f7a6d18b,7,10,Port,Foie Gras,Pork,Creme Brulee,926.46
0f578f6b-aad7-48bf-93ad-818b21d26153,8,6,Sherry,Pate,Chicken,Pudding,375.53
1b3dbad2-0bbf-4251-a605-869a14d891b4,8,10,Champagne,Foie Gras,Lobster,Creme Brulee,405.31
4aca72ba-94ac-41f9-99bd-4443b1a1d2b0,9,6,Campari and Soda,Soup,Chicken,Cookies,432.28
ebb08500-aeb1-4773-b792-51fb5127b1b5,9,5,Vermouth,Oysters,Fish,Tiramisu,344.97
0b1bf0a8-8285-4ff3-9f81-b46a08dd3539,11,6,Sherry,Escargot,Pizza,Ice Cream,942.09
3302e8c3-7c6b-4132-8d6f-663fe9631bd1,11,9,Kir,Charcuterie,Vegetarian,Chocolate,383.08
5d5c15a0-8158-4305-b663-b5ef24c805a4,12,8,Sherry,Soup,Lamb,Cheesecake,294.41
9534496e-2eae-4c03-86a8-173236f98d41,12,8,Port,Smoked Salmon,Pasta,Cobbler,256.66
fecd847c-7376-4f4c-97bb-9bfd47475074,12,9,Campari and Soda,Pate,Pasta,Tiramisu,737.46
1a28f226-f3d7-493d-af80-9e62202b9468,12,1,Kir,Smoked Salmon,Steak,Chocolate Cake,405.14
11b6ea5d-f5b3-4579-a8ad-a177a4b4cc77,13,7,Negroni,Crudites,Duck,Cobbler,730.58
8b3b48b8-9666-407b-81e6-3a4f21fbd09c,15,7,Americano,Pate,Steak,Cheesecake,590.57
6f6313ed-98d0-444b-92e7-9870dffb0285,15,4,Bellini,Charcuterie,Lamb,Pudding,430.67
8e85908c-2e5b-4a87-bcce-46407293ed08,17,4,Port,Foie Gras,Burger,Sorbet,799.72
7477e58e-7c3f-413e-8359-80d88084c3e1,17,4,Campari and Soda,Smoked Salmon,Lamb,Ice Cream,825.02
16bdc697-6686-4b2b-8ef4-075a4348bb34,22,7,Bellini,Escargot,Lobster,Sorbet,907.18
ce0099c4-bd9d-4e02-ba91-194062149332,23,7,Port,Soup,Duck,Tiramisu,410.09
0e652052-804a-4a6d-b644-803edd3c96bb,24,6,Sherry,Pate,Steak,Chocolate,213.56
c68d8e20-77db-4693-b673-75c1ba47a862,26,10,Vermouth,Salad,Lamb,Cookies,269.99
3b4cdae8-a38f-4110-935c-1f8b7981a9fd,29,8,Aperol Spritz,Salad,Steak,Creme Brulee,258.77
8c040e69-60b6-465b-84bb-4970522e9059,34,5,Negroni,Oysters,Steak,Cobbler,650.07
aa599d98-c16c-4de8-9b75-24e204c6cd98,35,4,Campari and Soda,Pate,Pork,Chocolate,323.22
0698ce37-faa7-48a1-a36f-a3ebfe37d7cd,35,7,Vermouth,Oysters,Fish,Cobbler,426.92
9d63b7df-ac3d-4252-bf00-6fe694a2b8b3,35,9,Aperol Spritz,Cheese Plate,Pizza,Chocolate Cake,757.12
b79c8c06-35cc-4c37-9b24-c84d3a5435cf,37,2,Americano,Escargot,Pizza,Cheesecake,497.03
00a4bbaf-0432-4f84-9436-1c4660e5a3de,41,9,Americano,Foie Gras,Chicken,Pie,484.87
fa578dac-1732-46da-bbb1-006863f383e4,41,1,Vermouth,Pate,Steak,Cookies,377.88
3f1a4876-c485-4968-ad61-68d74973edd2,41,8,Kir Royale,Caviar,Lobster,Sorbet,757.4
c68d047f-77e4-4334-a701-6469f4ab2cb3,44,7,Aperol Spritz,Foie Gras,Pasta,Pudding,977.32
74bc97e7-13e0-4483-a591-060776c12e4a,46,3,Sherry,Foie Gras,Pasta,Tiramisu,786.7
1174f688-3ea5-4362-bda9-7cf33a96b718,46,5,Kir,Soup,Burger,Sorbet,227.84
7b7b1cea-b7d5-49b5-b5c6-e57c4d5d5fb9,47,9,Bellini,Smoked Salmon,Vegetarian,Cookies,862.28
337869e8-3076-42b5-9ed3-7431bd23d945,47,3,Kir,Smoked Salmon,Lamb,Tiramisu,189.69
d61ee396-77d6-4b98-a2a2-689287b22f07,53,8,Bellini,Escargot,Lamb,Creme Brulee,668.42
94385d26-8927-4378-bf04-f64a95a52ce4,53,4,Bellini,Charcuterie,Pizza,Cheesecake,471.71
66ebc270-9eed-4395-ac0d-9865b665b996,55,5,Americano,Smoked Salmon,Burger,Tiramisu,687.87
69b30b27-33f3-4cc0-a72d-cc88d2bdb7d7,55,5,Port,Pate,Steak,Ice Cream,753.15
babe94d9-86a3-4879-aa35-d7ebddb16d08,55,8,Kir Royale,Smoked Salmon,Vegetarian,Sorbet,738.12
63eeb5d1-eb43-4bb3-8a7e-243f3ef5ec87,57,8,Kir Royale,Smoked Salmon,Duck,Chocolate Cake,995.21
0a542cb3-4e6d-4433-a32e-288b8c4c4443,57,5,Champagne,Crudites,Pizza,Creme Brulee,987.75
3cfee584-3f3c-4d29-b92d-1480f2137b27,57,3,Kir,Smoked Salmon,Lamb,Pie,421.48
e3da0883-66ec-4adc-a548-be4bf95e8219,57,5,Bellini,Caviar,Lamb,Tiramisu,668.56
427634fe-f642-4b76-a6f4-b4d5bcdc7cdb,58,4,Negroni,Smoked Salmon,Duck,Ice Cream,665.94
3bb392b2-7932-4c1a-9502-a58088e9e42e,63,1,Sherry,Foie Gras,Duck,Cookies,919.87
46476d79-d8c0-4971-8f18-b82d481b4ff9,64,5,Negroni,Escargot,Chicken,Cheesecake,783.32
5082d51d-29bb-47ce-9400-f4ce636fdaba,68,4,Kir Royale,Cheese Plate,Steak,Sorbet,833.03
5bc705e3-b370-43c8-9362-00b89e16db4a,69,7,Port,Soup,Chicken,Chocolate,744.89
124d036a-ad8b-45de-a008-5c1370f8daa6,69,8,Aperol Spritz,Cheese Plate,Duck,Ice Cream,249.28
3d673f80-5e21-4433-8015-1238569f25c2,69,6,Champagne,Smoked Salmon,Pizza,Sorbet,352.77
49148d97-06ff-46b3-9fa6-42ee482e5fae,69,3,Vermouth,Crudites,Lobster,Chocolate,947.49
1e8fd810-d85a-4a0f-9b37-2e42a1b6afe7,73,1,Sherry,Caviar,Chicken,Ice Cream,984.49
f5f20d66-7d71-4233-a065-74d25bd10632,74,3,Port,Oysters,Vegetarian,Pudding,581.02
d78f4d44-023b-4837-9b0a-295b3cc13241,74,3,Americano,Soup,Fish,Cookies,593.44
4da49bf6-c684-4372-8196-91a90e474878,76,8,Sherry,Caviar,Steak,Cheesecake,199.89
5a10c52d-31bc-46bb-a643-7cdf5592bf33,78,5,Bellini,Charcuterie,Pork,Chocolate,760.98
7d829136-3232-457f-8273-b72d91fc1cea,78,5,Aperol Spritz,Pate,Steak,Chocolate Cake,944.11
3a87201c-a693-440b-bba1-8c4ded5e2dce,78,7,Campari and Soda,Salad,Vegetarian,Tiramisu,554.3
a01f0f18-b6a8-4a14-b1d2-f7910e8096f0,78,7,Kir Royale,Cheese Plate,Pork,Chocolate,931.18
fdee10c0-74ca-484c-a8ff-429e2b1faa54,80,10,Port,Salad,Vegetarian,Sorbet,862.69
ae968038-4872-41fb-b343-005d4476aeb6,86,7,Port,Cheese Plate,Lobster,Sorbet,123.45
70e32822-e3fa-4c8d-abe7-ca84c66ee3a2,88,6,Negroni,Crudites,Pasta,Chocolate,963.93
71e6120b-9bd3-4938-a91f-a349406514e7,88,7,Kir Royale,Crudites,Lamb,Pudding,614.65
42197ce4-8a5f-4da4-affc-763dcbb664cf,89,6,Kir Royale,Foie Gras,Fish,Pudding,106.29
