customer_id,total_orders,total_items,total_spent
8037,5,20,300.39
4290,2,3,332.66
5367,3,7,643.27
4755,10,12,649.12
2651,10,9,794.28
4063,5,6,958.01
9459,8,4,767.39
9722,8,8,897.56
9638,6,14,965.61
9131,5,13,484.51
2265,6,6,461.49
9623,3,19,536.21
8921,3,8,910.02
7730,3,20,687.53
3822,3,14,916.24
1608,6,2,686.69
2694,8,5,803.98
3117,1,18,462.75
201,2,15,476.73
9585,3,14,298.37
7310,8,13,843.5
7204,10,12,110.08
4270,4,12,595.07
5302,9,7,368.32
6979,10,19,707.78
271,7,20,754.3
1894,7,17,359.32
493,4,13,910.28
6161,5,17,104.4
8677,2,1,556.12
2913,7,11,220.15
2171,1,20,956.62
3403,1,9,271.25
2269,6,11,237.69
4817,1,7,203.9
7288,3,6,471.47
3487,4,19,788.5
5299,9,11,993.53
3762,6,5,332.67
3415,1,3,452.41
6225,6,11,752.86
4708,6,15,579.53
8348,7,1,942.89
3816,6,2,158.98
1525,7,8,580.63
9464,9,12,654.15
4687,9,9,714.59
6984,6,3,218.39
6483,8,8,426.75
8235,5,6,664.5
5996,6,5,669.06
9453,10,20,816.17
2518,8,6,550.66
1187,5,14,491.54
6116,4,7,914.87
6201,8,9,539.13
9268,7,4,616.0
6393,9,14,239.16
8663,4,4,289.18
3510,2,8,665.78
9046,4,5,930.88
4353,5,1,301.38
5191,1,1,964.17
8869,6,18,410.01
8122,9,6,332.37
3981,10,11,720.24
5080,1,7,930.53
2069,4,11,169.99
985,5,11,844.52
886,10,11,663.93
9752,8,17,993.88
1767,8,12,769.56
2703,9,10,479.41
8813,1,9,142.7
1580,5,11,530.21
6018,9,5,246.04
4308,7,10,109.54
3451,10,7,867.99
6201,1,13,998.62
6305,4,4,906.62
1386,5,9,572.64
3395,3,13,605.59
8197,2,12,314.33
9947,3,12,855.37
4224,3,10,184.22
7228,2,17,551.12
370,3,11,854.79
4347,9,2,256.96
7063,9,2,158.87
5713,1,8,361.22
4431,3,11,970.1
9316,5,15,325.84
5253,2,20,152.82
3167,8,6,615.89
1858,1,14,389.95
508,9,2,791.21
1622,5,7,235.12
7735,3,10,903.04
4399,9,9,331.69
8265,5,20,235.12
7061,2,7,555.09
2044,4,9,938.25
8112,4,4,836.38
2654,2,17,598.11
9006,5,19,533.18
7834,1,11,617.58
598,8,17,109.04
5914,1,11,545.18
8285,1,2,237.57
9976,1,13,142.49
594,2,3,198.29
9733,6,19,285.93
9157,2,4,711.6
3560,1,8,909.99
2628,4,11,224.47
1449,6,1,937.6
7992,9,18,563.57
8826,1,15,449.49
8453,4,13,665.48
2817,9,6,312.48
2418,2,8,236.97
7733,7,16,317.26
7308,9,7,795.34
9024,9,1,824.45
454,1,18,596.79
3144,9,7,227.53
2262,1,19,366.83
2065,1,3,735.49
6862,10,3,863.14
9790,2,12,439.6
3614,1,6,427.61
4449,2,6,463.62
4320,1,18,703.8
2476,9,19,609.53
4163,3,6,799.37
2583,4,20,499.74
5634,6,20,284.21
4132,1,6,859.95
2377,2,18,640.72
2474,1,17,392.54
7338,9,20,636.61
4066,6,13,264.22
5329,5,8,874.05
6,6,6,539.79
7355,1,18,763.34
9978,3,1,967.35
8177,8,19,104.32
107,5,10,250.56
2609,1,10,781.48
485,10,1,675.46
5645,5,8,546.92
9226,6,1,497.97
9783,9,2,120.71
7410,8,15,743.1
8707,4,6,893.18
9615,7,13,981.79
1165,4,15,850.19
3479,5,15,517.36
3944,8,14,345.81
2500,5,2,725.94
6943,8,7,144.45
3605,6,1,959.2
2800,10,13,680.6
4998,3,14,284.59
3099,10,10,509.86
9461,4,19,759.89
5085,4,13,858.21
8805,10,19,506.62
6216,7,1,787.2
8789,6,19,107.06
471,4,4,423.97
9325,10,8,498.53
5650,6,11,698.49
8877,5,11,686.97
4944,8,4,234.95
2811,7,8,621.63
8773,4,5,755.7
9000,10,18,366.78
6967,4,3,284.15
6496,3,5,537.75
7319,5,12,183.25
6737,6,7,479.37
9246,1,3,795.44
8335,3,18,731.16
4299,4,3,868.67
2313,6,19,813.37
1078,9,3,918.14
8904,3,12,634.47
5592,8,9,523.04
7731,2,13,857.73
5842,6,19,396.9
3266,3,20,280.97
1263,3,15,539.2
3445,10,18,214.62
397,4,11,422.76
652,9,13,908.98
1892,6,18,459.1
3494,8,17,511.51
5776,7,6,406.22
3190,6,5,140.45
818,2,7,856.16
5180,2,20,367.31
8751,1,16,325.76
3448,5,18,248.41
6498,4,2,804.25
3336,2,9,362.44
1324,10,3,709.02
7738,10,10,282.56
6955,6,1,672.95
283,10,16,701.02
5470,1,4,417.85
8047,5,12,363.23
9824,9,19,968.17
7967,1,17,596.72
8885,7,20,244.65
5299,1,2,274.04
7657,6,4,269.13
5260,8,19,518.09
3460,6,10,579.9
1765,2,14,801.08
7348,1,7,814.92
7175,1,8,111.06
3733,10,11,263.83
7623,3,17,490.63
1421,1,13,434.75
6304,9,18,401.68
3303,10,6,860.96
6318,6,11,868.01
1919,2,5,470.6
8349,10,11,462.07
9369,7,13,868.93
3026,4,10,123.08
9059,1,19,446.72
456,8,2,534.57
6899,6,11,523.05
3772,7,3,641.66
1468,3,19,200.24
3422,4,16,761.34
5724,4,6,119.9
7860,5,3,522.97
1929,2,17,178.18
5060,6,10,518.53
3396,2,12,425.32
5476,9,5,973.63
5266,1,14,406.11
8191,6,15,245.9
661,2,5,493.06
5428,4,13,822.86
6813,1,11,500.16
3647,7,10,577.64
6010,10,1,727.09
8663,6,11,997.47
3733,1,13,632.61
5809,9,2,404.74
5274,7,12,172.85
812,10,15,969.56
9031,10,20,844.64
4385,5,12,333.42
1408,5,18,877.16
8743,6,14,104.03
7383,3,16,746.39
2453,1,7,335.04
2806,3,11,787.06
7267,4,13,332.5
7917,8,2,663.19
1212,10,18,521.31
9499,10,11,548.3
8596,6,10,298.25
4887,3,10,899.38
6690,1,17,555.43
