order_id,customer_id,items,aperitifs,appetizers,entrees,desserts,total
f1d6b4c4-0f9f-4ba6-8d5d-f7e4ef7cd9a0,2652,7,Aperol Spritz,Pate,Pork,Tiramisu,751.87
7b8a732e-85a0-4fa2-b282-a2d232ee182e,1756,3,Sherry,Pate,Pasta,Cheesecake,156.43
1eab436d-2acb-4bc8-b849-fbce859ffd8a,2989,5,Bellini,Pate,Lobster,Chocolate Cake,364.13
d6313392-8901-42f6-bf8a-4805fe816a46,9903,3,Sherry,Salad,Pizza,Cheesecake,805.62
f73f8c45-28c2-473f-a3ba-e65ed5890ac6,8627,2,Port,Pate,Lobster,Pie,638.43
ff5d6856-7369-459c-a090-997c72578eeb,2323,10,Kir Royale,Smoked Salmon,Lamb,Cookies,936.35
92ff5f6a-f745-408b-9efc-2d0d4b678de8,1837,6,Sherry,Cheese Plate,Vegetarian,Cheesecake,827.5
5bbaa315-fb85-4301-b179-09f4859abd32,1314,4,Bellini,Charcuterie,Lamb,Ice Cream,950.97
3fd6ad7c-241c-43a8-864d-bb6604ccaaf7,9977,9,Sherry,Salad,Steak,Sorbet,423.6
c5ce7e50-f7b1-4c97-8bc6-ab656d67f46a,9358,6,Kir Royale,Smoked Salmon,Pasta,Sorbet,690.58
b005580e-3124-438e-8840-2cd505cab2d5,7897,5,Kir,Salad,Lamb,Sorbet,732.71
45f22cbd-8d5e-4812-9983-408490e4ad92,4593,2,Port,Pate,Fish,Cheesecake,792.42
d7cfa684-33fa-463b-9b68-2b09803a31c1,8527,1,Champagne,Cheese Plate,Fish,Ice Cream,345.53
b9a20203-edda-4241-819f-417cfb7a98a3,8427,10,Kir,Crudites,Burger,Chocolate,272.24
8cebfae7-3e2f-464c-8424-2db900220226,6216,10,Americano,Oysters,Burger,Ice Cream,553.59
fede4661-a000-4c8a-a0d8-c670011425e0,5305,2,Americano,Pate,Fish,Creme Brulee,581.53
ce0099c4-bd9d-4e02-ba91-194062149332,23,7,Port,Soup,Duck,Tiramisu,410.09
77813559-2195-4a12-8368-bba570e77a57,7196,3,Kir,Foie Gras,Vegetarian,Cobbler,527.52
2c076455-6f75-499c-9929-49172702f199,6195,3,Negroni,Smoked Salmon,Pork,Cobbler,384.3
